"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"65","-0.5044605135917664","-0.5044605135917664","-0.5044605135917664","778","778","778"
"66","-0.5168237686157227","-0.5168237686157227","-0.5168237686157227","790","790","790"
"67","-0.5114707350730896","-0.5114707350730896","-0.5114707350730896","802","802","802"
"68","-0.3546232581138611","-0.3546232581138611","-0.3546232581138611","814","814","814"
"69","-0.4693286716938019","-0.4693286716938019","-0.4693286716938019","826","826","826"
"70","-0.3264508843421936","-0.3264508843421936","-0.3264508843421936","838","838","838"
"71","0.01299893669784069","0.01299893669784069","0.01299893669784069","850","850","850"
"72","1.2503719329833984","1.2503719329833984","1.2503719329833984","862","862","862"
"73","0.030381932854652405","0.030381932854652405","0.030381932854652405","874","874","874"
"74","-0.8007605671882629","-0.8007605671882629","-0.8007605671882629","886","886","886"
"75","2.2660796642303467","2.2660796642303467","2.2660796642303467","898","898","898"
"76","-0.36450067162513733","-0.36450067162513733","-0.36450067162513733","910","910","910"
"77","-0.24230198562145233","-0.24230198562145233","-0.24230198562145233","922","922","922"
"78","-0.21637612581253052","-0.21637612581253052","-0.21637612581253052","934","934","934"
"79","-0.1858258843421936","-0.1858258843421936","-0.1858258843421936","946","946","946"
"80","-0.263669490814209","-0.263669490814209","-0.263669490814209","958","958","958"
"81","-0.3330042362213135","-0.3330042362213135","-0.3330042362213135","970","970","970"
"82","-0.1725320816040039","-0.1725320816040039","-0.1725320816040039","982","982","982"
"83","-0.39859968423843384","-0.39859968423843384","-0.39859968423843384","994","994","994"
"84","0.0184771791100502","0.0184771791100502","0.0184771791100502","1006","1006","1006"
"85","1.5727040767669678","1.5727040767669678","1.5727040767669678","1018","1018","1018"
"86","-0.2441490739583969","-0.2441490739583969","-0.2441490739583969","1030","1030","1030"
"87","-0.2369791865348816","-0.2369791865348816","-0.2369791865348816","1042","1042","1042"
"88","-0.3658425211906433","-0.3658425211906433","-0.3658425211906433","1054","1054","1054"
"89","-0.1839037835597992","-0.1839037835597992","-0.1839037835597992","1066","1066","1066"
"90","-0.10519386827945709","-0.10519386827945709","-0.10519386827945709","1078","1078","1078"
"91","-0.5916869640350342","-0.5916869640350342","-0.5916869640350342","1090","1090","1090"
"92","-0.21151621639728546","-0.21151621639728546","-0.21151621639728546","1102","1102","1102"
"93","2.6171875","2.6171875","2.6171875","1114","1114","1114"
"94","-0.2039930522441864","-0.2039930522441864","-0.2039930522441864","1126","1126","1126"
"95","1.9366207122802734","1.9366207122802734","1.9366207122802734","1138","1138","1138"
"96","0.14960670471191406","0.14960670471191406","0.14960670471191406","1150","1150","1150"
"97","-0.3446481227874756","-0.3446481227874756","-0.3446481227874756","1162","1162","1162"
"98","0.09188161790370941","0.09188161790370941","0.09188161790370941","1174","1174","1174"
"99","-0.2098214328289032","-0.2098214328289032","-0.2098214328289032","1186","1186","1186"
"100","-0.23363378643989563","-0.23363378643989563","-0.23363378643989563","1198","1198","1198"
"101","-0.2718731164932251","-0.2718731164932251","-0.2718731164932251","1210","1210","1210"
"102","-0.2157737910747528","-0.2157737910747528","-0.2157737910747528","1222","1222","1222"
"103","-0.315143346786499","-0.315143346786499","-0.315143346786499","1234","1234","1234"
"104","-0.3195684552192688","-0.3195684552192688","-0.3195684552192688","1246","1246","1246"
"105","1.817150354385376","1.817150354385376","1.817150354385376","1258","1258","1258"
"106","2.1458332538604736","2.1458332538604736","2.1458332538604736","1270","1270","1270"
"107","-0.0905258059501648","-0.0905258059501648","-0.0905258059501648","1282","1282","1282"
"108","-0.0873015969991684","-0.0873015969991684","-0.0873015969991684","1294","1294","1294"
"109","1.1465773582458496","1.1465773582458496","1.1465773582458496","1306","1306","1306"
"110","0.1619543731212616","0.1619543731212616","0.1619543731212616","1318","1318","1318"
"111","-0.1124131977558136","-0.1124131977558136","-0.1124131977558136","1330","1330","1330"
"112","2.3077049255371094","2.3077049255371094","2.3077049255371094","1342","1342","1342"
