"train/global_step","grpo_vastai_20260220_001219 - train/step_time","grpo_vastai_20260220_001219 - train/step_time__MIN","grpo_vastai_20260220_001219 - train/step_time__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"79","9.253038054797798","9.253038054797798","9.253038054797798","946","946","946"
"80","10.135958462487906","10.135958462487906","10.135958462487906","958","958","958"
"81","9.73377185408026","9.73377185408026","9.73377185408026","970","970","970"
"82","9.745175683870912","9.745175683870912","9.745175683870912","982","982","982"
"83","10.11329887015745","10.11329887015745","10.11329887015745","994","994","994"
"84","9.865510153118521","9.865510153118521","9.865510153118521","1006","1006","1006"
"85","9.168849187903106","9.168849187903106","9.168849187903106","1018","1018","1018"
"86","9.441085601691157","9.441085601691157","9.441085601691157","1030","1030","1030"
"87","9.21313141984865","9.21313141984865","9.21313141984865","1042","1042","1042"
"88","9.169680135790259","9.169680135790259","9.169680135790259","1054","1054","1054"
"89","9.813917299732566","9.813917299732566","9.813917299732566","1066","1066","1066"
