"train/global_step","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MIN","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"260","0.6887326836585999","0.6887326836585999","0.6887326836585999","3118","3118","3118"
"261","2.8746049404144287","2.8746049404144287","2.8746049404144287","3130","3130","3130"
"262","0.6042725443840027","0.6042725443840027","0.6042725443840027","3142","3142","3142"
"263","0.5595254898071289","0.5595254898071289","0.5595254898071289","3154","3154","3154"
"264","0.6463055610656738","0.6463055610656738","0.6463055610656738","3166","3166","3166"
"265","2.2885546684265137","2.2885546684265137","2.2885546684265137","3178","3178","3178"
"266","0.7403351068496704","0.7403351068496704","0.7403351068496704","3190","3190","3190"
"267","2.383699417114258","2.383699417114258","2.383699417114258","3202","3202","3202"
"268","0.5704507231712341","0.5704507231712341","0.5704507231712341","3214","3214","3214"
"269","0.6602526307106018","0.6602526307106018","0.6602526307106018","3226","3226","3226"
"270","0.6418659090995789","0.6418659090995789","0.6418659090995789","3238","3238","3238"
"271","0.5821180939674377","0.5821180939674377","0.5821180939674377","3250","3250","3250"
"272","0.5751475095748901","0.5751475095748901","0.5751475095748901","3262","3262","3262"
"273","0.6658269762992859","0.6658269762992859","0.6658269762992859","3274","3274","3274"
"274","0.626167356967926","0.626167356967926","0.626167356967926","3286","3286","3286"
"275","0.6367257833480835","0.6367257833480835","0.6367257833480835","3298","3298","3298"
"276","0.6897750496864319","0.6897750496864319","0.6897750496864319","3310","3310","3310"
"277","0.6208053827285767","0.6208053827285767","0.6208053827285767","3322","3322","3322"
"278","0.564058244228363","0.564058244228363","0.564058244228363","3334","3334","3334"
"279","0.7344696521759033","0.7344696521759033","0.7344696521759033","3346","3346","3346"
"280","0.6532973647117615","0.6532973647117615","0.6532973647117615","3358","3358","3358"
"281","2.628549814224243","2.628549814224243","2.628549814224243","3370","3370","3370"
"282","0.5483123660087585","0.5483123660087585","0.5483123660087585","3382","3382","3382"
"283","2.6212878227233887","2.6212878227233887","2.6212878227233887","3394","3394","3394"
"284","0.6463078856468201","0.6463078856468201","0.6463078856468201","3406","3406","3406"
"285","0.7100838422775269","0.7100838422775269","0.7100838422775269","3418","3418","3418"
"286","0.6492879986763","0.6492879986763","0.6492879986763","3430","3430","3430"
"287","0.6141218543052673","0.6141218543052673","0.6141218543052673","3442","3442","3442"
"288","0.4797780513763428","0.4797780513763428","0.4797780513763428","3454","3454","3454"
"289","0.6604071259498596","0.6604071259498596","0.6604071259498596","3466","3466","3466"
"290","0.601424515247345","0.601424515247345","0.601424515247345","3478","3478","3478"
"291","0.5551049709320068","0.5551049709320068","0.5551049709320068","3490","3490","3490"
"292","0.5022964477539062","0.5022964477539062","0.5022964477539062","3502","3502","3502"
"293","0.6517981886863708","0.6517981886863708","0.6517981886863708","3514","3514","3514"
"294","2.469235420227051","2.469235420227051","2.469235420227051","3526","3526","3526"
"295","2.1476967334747314","2.1476967334747314","2.1476967334747314","3538","3538","3538"
"296","2.5963878631591797","2.5963878631591797","2.5963878631591797","3550","3550","3550"
"297","0.548755943775177","0.548755943775177","0.548755943775177","3562","3562","3562"
"298","0.7195283770561218","0.7195283770561218","0.7195283770561218","3574","3574","3574"
"299","0.5982649922370911","0.5982649922370911","0.5982649922370911","3586","3586","3586"
"300","0.6793875694274902","0.6793875694274902","0.6793875694274902","3598","3598","3598"
"301","0.6680977940559387","0.6680977940559387","0.6680977940559387","3610","3610","3610"
