"train/global_step","hearty-leaf-10 - train/rewards/reward_fn/std","hearty-leaf-10 - train/rewards/reward_fn/std__MIN","hearty-leaf-10 - train/rewards/reward_fn/std__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"635","0.5764399886131286","0.5764399886131286","0.5764399886131286","6602","6602","6602"
"640","0.49364988803863524","0.49364988803863524","0.49364988803863524","6654","6654","6654"
"645","0.5670082688331604","0.5670082688331604","0.5670082688331604","6706","6706","6706"
"650","0.5528776705265045","0.5528776705265045","0.5528776705265045","6758","6758","6758"
"655","0.6523300349712372","0.6523300349712372","0.6523300349712372","6810","6810","6810"
"660","0.5849425315856933","0.5849425315856933","0.5849425315856933","6862","6862","6862"
"665","0.5759405076503754","0.5759405076503754","0.5759405076503754","6914","6914","6914"
"670","0.7193138718605041","0.7193138718605041","0.7193138718605041","6966","6966","6966"
"675","0.5823079407215118","0.5823079407215118","0.5823079407215118","7018","7018","7018"
"680","0.677153879404068","0.677153879404068","0.677153879404068","7070","7070","7070"
"685","0.604721188545227","0.604721188545227","0.604721188545227","7122","7122","7122"
"690","0.4801889300346375","0.4801889300346375","0.4801889300346375","7174","7174","7174"
"695","0.5903496026992798","0.5903496026992798","0.5903496026992798","7226","7226","7226"
"700","0.5544683158397674","0.5544683158397674","0.5544683158397674","7278","7278","7278"
"705","0.8010139405727387","0.8010139405727387","0.8010139405727387","7330","7330","7330"
"710","0.4908496677875519","0.4908496677875519","0.4908496677875519","7382","7382","7382"
"715","0.5837583303451538","0.5837583303451538","0.5837583303451538","7434","7434","7434"
"720","0.5843161821365357","0.5843161821365357","0.5843161821365357","7486","7486","7486"
"725","0.5575857639312745","0.5575857639312745","0.5575857639312745","7538","7538","7538"
"730","0.5784500896930694","0.5784500896930694","0.5784500896930694","7590","7590","7590"
"735","0.5623903036117553","0.5623903036117553","0.5623903036117553","7642","7642","7642"
"740","0.6622113704681396","0.6622113704681396","0.6622113704681396","7694","7694","7694"
"745","0.6260066866874695","0.6260066866874695","0.6260066866874695","7746","7746","7746"
"750","0.7684012293815613","0.7684012293815613","0.7684012293815613","7798","7798","7798"
"755","0.6105376958847046","0.6105376958847046","0.6105376958847046","7850","7850","7850"
"760","0.7900053918361664","0.7900053918361664","0.7900053918361664","7902","7902","7902"
"765","0.6049883604049683","0.6049883604049683","0.6049883604049683","7954","7954","7954"
"770","0.5893126487731933","0.5893126487731933","0.5893126487731933","8006","8006","8006"
