"train/global_step","hearty-leaf-10 - train/reward_std","hearty-leaf-10 - train/reward_std__MIN","hearty-leaf-10 - train/reward_std__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"870","0.7667575359344483","0.7667575359344483","0.7667575359344483","9046","9046","9046"
"875","0.7275028705596924","0.7275028705596924","0.7275028705596924","9098","9098","9098"
"880","0.7603740453720093","0.7603740453720093","0.7603740453720093","9150","9150","9150"
"885","0.6345939636230469","0.6345939636230469","0.6345939636230469","9202","9202","9202"
"890","0.5594558000564576","0.5594558000564576","0.5594558000564576","9254","9254","9254"
"895","0.8707612156867981","0.8707612156867981","0.8707612156867981","9306","9306","9306"
"900","0.54710151553154","0.54710151553154","0.54710151553154","9358","9358","9358"
"905","0.6436840415000915","0.6436840415000915","0.6436840415000915","9410","9410","9410"
"910","0.5802339136600494","0.5802339136600494","0.5802339136600494","9462","9462","9462"
"915","0.7048249483108521","0.7048249483108521","0.7048249483108521","9514","9514","9514"
"920","0.5197300732135772","0.5197300732135772","0.5197300732135772","9566","9566","9566"
"925","0.6262392163276672","0.6262392163276672","0.6262392163276672","9618","9618","9618"
"930","0.6096139788627625","0.6096139788627625","0.6096139788627625","9670","9670","9670"
"935","0.5762024641036987","0.5762024641036987","0.5762024641036987","9722","9722","9722"
"940","0.6279163360595703","0.6279163360595703","0.6279163360595703","9774","9774","9774"
"945","0.692453932762146","0.692453932762146","0.692453932762146","9826","9826","9826"
"950","0.5799744665622711","0.5799744665622711","0.5799744665622711","9878","9878","9878"
"955","0.7358389317989349","0.7358389317989349","0.7358389317989349","9930","9930","9930"
"960","0.6156725525856018","0.6156725525856018","0.6156725525856018","9982","9982","9982"
"965","0.6860637307167053","0.6860637307167053","0.6860637307167053","10034","10034","10034"
"970","0.5873609900474548","0.5873609900474548","0.5873609900474548","10086","10086","10086"
"975","0.9816491365432739","0.9816491365432739","0.9816491365432739","10138","10138","10138"
"980","0.585831594467163","0.585831594467163","0.585831594467163","10190","10190","10190"
"985","0.625417423248291","0.625417423248291","0.625417423248291","10242","10242","10242"
"990","0.6301586270332337","0.6301586270332337","0.6301586270332337","10294","10294","10294"
"995","0.5586660623550415","0.5586660623550415","0.5586660623550415","10346","10346","10346"
"1000","0.6552263498306274","0.6552263498306274","0.6552263498306274","10398","10398","10398"
"1005","0.6688630104064941","0.6688630104064941","0.6688630104064941","10450","10450","10450"
"1010","0.6096433401107788","0.6096433401107788","0.6096433401107788","10502","10502","10502"
"1015","0.6976609587669372","0.6976609587669372","0.6976609587669372","10554","10554","10554"
"1020","0.9512046813964844","0.9512046813964844","0.9512046813964844","10606","10606","10606"
"1025","0.5821452438831329","0.5821452438831329","0.5821452438831329","10658","10658","10658"
"1030","0.5910342812538147","0.5910342812538147","0.5910342812538147","10710","10710","10710"
"1035","0.858269727230072","0.858269727230072","0.858269727230072","10762","10762","10762"
"1040","0.9390448808670044","0.9390448808670044","0.9390448808670044","10814","10814","10814"
"1045","0.6083150446414948","0.6083150446414948","0.6083150446414948","10866","10866","10866"
"1050","0.7899128556251526","0.7899128556251526","0.7899128556251526","10918","10918","10918"
"1055","0.5935489237308502","0.5935489237308502","0.5935489237308502","10970","10970","10970"
"1060","0.6225854158401489","0.6225854158401489","0.6225854158401489","11022","11022","11022"
"1065","0.7669971346855163","0.7669971346855163","0.7669971346855163","11074","11074","11074"
"1070","0.5771270990371704","0.5771270990371704","0.5771270990371704","11126","11126","11126"
"1075","0.6289196610450745","0.6289196610450745","0.6289196610450745","11178","11178","11178"
"1080","0.6155025959014893","0.6155025959014893","0.6155025959014893","11230","11230","11230"
"1085","0.6209154605865479","0.6209154605865479","0.6209154605865479","11282","11282","11282"
"1090","0.6082663655281066","0.6082663655281066","0.6082663655281066","11334","11334","11334"
