"train/global_step","hearty-leaf-10 - train/reward","hearty-leaf-10 - train/reward__MIN","hearty-leaf-10 - train/reward__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"630","-0.3444486171007156","-0.3444486171007156","-0.3444486171007156","6550","6550","6550"
"635","-0.032717111706733706","-0.032717111706733706","-0.032717111706733706","6602","6602","6602"
"640","-0.14306289106607437","-0.14306289106607437","-0.14306289106607437","6654","6654","6654"
"645","-0.16538031697273253","-0.16538031697273253","-0.16538031697273253","6706","6706","6706"
"650","0.8632100202143193","0.8632100202143193","0.8632100202143193","6758","6758","6758"
"655","0.6457781329751014","0.6457781329751014","0.6457781329751014","6810","6810","6810"
"660","-0.25987345427274705","-0.25987345427274705","-0.25987345427274705","6862","6862","6862"
"665","-0.15711693167686464","-0.15711693167686464","-0.15711693167686464","6914","6914","6914"
"670","0.6378099352121354","0.6378099352121354","0.6378099352121354","6966","6966","6966"
"675","0.8010264053940773","0.8010264053940773","0.8010264053940773","7018","7018","7018"
"680","0.8145379796624184","0.8145379796624184","0.8145379796624184","7070","7070","7070"
"685","-0.012239965051412583","-0.012239965051412583","-0.012239965051412583","7122","7122","7122"
"690","-0.25428842678666114","-0.25428842678666114","-0.25428842678666114","7174","7174","7174"
"695","-0.05641980469226837","-0.05641980469226837","-0.05641980469226837","7226","7226","7226"
"700","0.8159406185150146","0.8159406185150146","0.8159406185150146","7278","7278","7278"
"705","0.6857562497258186","0.6857562497258186","0.6857562497258186","7330","7330","7330"
"710","-0.37584398314356804","-0.37584398314356804","-0.37584398314356804","7382","7382","7382"
"715","0.015424421429634095","0.015424421429634095","0.015424421429634095","7434","7434","7434"
"720","-0.10062003433704376","-0.10062003433704376","-0.10062003433704376","7486","7486","7486"
"725","0.6632154285907745","0.6632154285907745","0.6632154285907745","7538","7538","7538"
"730","0.007772376388311386","0.007772376388311386","0.007772376388311386","7590","7590","7590"
"735","-0.0073502928018569945","-0.0073502928018569945","-0.0073502928018569945","7642","7642","7642"
"740","0.011807191371917724","0.011807191371917724","0.011807191371917724","7694","7694","7694"
"745","0.007653062045574188","0.007653062045574188","0.007653062045574188","7746","7746","7746"
"750","0.7959449514746666","0.7959449514746666","0.7959449514746666","7798","7798","7798"
"755","0.03645025342702866","0.03645025342702866","0.03645025342702866","7850","7850","7850"
"760","0.6792278334498405","0.6792278334498405","0.6792278334498405","7902","7902","7902"
"765","-0.013229872286319732","-0.013229872286319732","-0.013229872286319732","7954","7954","7954"
"770","-0.1733112394809723","-0.1733112394809723","-0.1733112394809723","8006","8006","8006"
"775","0.006465728580951691","0.006465728580951691","0.006465728580951691","8058","8058","8058"
"780","-0.0982704296708107","-0.0982704296708107","-0.0982704296708107","8110","8110","8110"
"785","0.6365430593490601","0.6365430593490601","0.6365430593490601","8162","8162","8162"
"790","0.05867345631122589","0.05867345631122589","0.05867345631122589","8214","8214","8214"
"795","-0.219292950630188","-0.219292950630188","-0.219292950630188","8266","8266","8266"
"800","0.7193479329347611","0.7193479329347611","0.7193479329347611","8318","8318","8318"
"805","-0.18165714666247368","-0.18165714666247368","-0.18165714666247368","8370","8370","8370"
"810","-0.10793060660362244","-0.10793060660362244","-0.10793060660362244","8422","8422","8422"
"815","0.8014778450131417","0.8014778450131417","0.8014778450131417","8474","8474","8474"
"820","0.6485309824347496","0.6485309824347496","0.6485309824347496","8526","8526","8526"
"825","0.7804991997778415","0.7804991997778415","0.7804991997778415","8578","8578","8578"
"830","0.8476886332035065","0.8476886332035065","0.8476886332035065","8630","8630","8630"
"835","0.8870462514460087","0.8870462514460087","0.8870462514460087","8682","8682","8682"
"840","-0.29473530650138857","-0.29473530650138857","-0.29473530650138857","8734","8734","8734"
"845","0.05904385261237621","0.05904385261237621","0.05904385261237621","8786","8786","8786"
"850","0.09345389679074287","0.09345389679074287","0.09345389679074287","8838","8838","8838"
"855","0.7494678884744644","0.7494678884744644","0.7494678884744644","8890","8890","8890"
"860","0.7637117356061935","0.7637117356061935","0.7637117356061935","8942","8942","8942"
"865","-0.1547604076564312","-0.1547604076564312","-0.1547604076564312","8994","8994","8994"
"870","0.6923009872436523","0.6923009872436523","0.6923009872436523","9046","9046","9046"
"875","1.0242478046566248","1.0242478046566248","1.0242478046566248","9098","9098","9098"
"880","0.6894817546010017","0.6894817546010017","0.6894817546010017","9150","9150","9150"
"885","0.8882601425051689","0.8882601425051689","0.8882601425051689","9202","9202","9202"
"890","-0.2965144358575344","-0.2965144358575344","-0.2965144358575344","9254","9254","9254"
"895","0.7612353213131428","0.7612353213131428","0.7612353213131428","9306","9306","9306"
"900","0.941646046936512","0.941646046936512","0.941646046936512","9358","9358","9358"
"905","-0.0670046091079712","-0.0670046091079712","-0.0670046091079712","9410","9410","9410"
"910","-0.17951296865940095","-0.17951296865940095","-0.17951296865940095","9462","9462","9462"
"915","0.8590649776160717","0.8590649776160717","0.8590649776160717","9514","9514","9514"
"920","-0.229600989818573","-0.229600989818573","-0.229600989818573","9566","9566","9566"
"925","0.9896593004465103","0.9896593004465103","0.9896593004465103","9618","9618","9618"
"930","-0.1290036827325821","-0.1290036827325821","-0.1290036827325821","9670","9670","9670"
"935","0.9276196241378785","0.9276196241378785","0.9276196241378785","9722","9722","9722"
"940","0.8103966645896434","0.8103966645896434","0.8103966645896434","9774","9774","9774"
"945","1.0236797869205474","1.0236797869205474","1.0236797869205474","9826","9826","9826"
"950","-0.0666812390089035","-0.0666812390089035","-0.0666812390089035","9878","9878","9878"
"955","0.5307008177042007","0.5307008177042007","0.5307008177042007","9930","9930","9930"
"960","0.039015138149261476","0.039015138149261476","0.039015138149261476","9982","9982","9982"
"965","-0.0739902287721634","-0.0739902287721634","-0.0739902287721634","10034","10034","10034"
"970","0.8310846544802188","0.8310846544802188","0.8310846544802188","10086","10086","10086"
"975","1.399968108534813","1.399968108534813","1.399968108534813","10138","10138","10138"
"980","-0.014923259615898132","-0.014923259615898132","-0.014923259615898132","10190","10190","10190"
"985","0.050216120481491086","0.050216120481491086","0.050216120481491086","10242","10242","10242"
"990","0.961387463659048","0.961387463659048","0.961387463659048","10294","10294","10294"
"995","0.051686492562294004","0.051686492562294004","0.051686492562294004","10346","10346","10346"
"1000","-0.05335395559668541","-0.05335395559668541","-0.05335395559668541","10398","10398","10398"
"1005","0.07092750966548919","0.07092750966548919","0.07092750966548919","10450","10450","10450"
"1010","-0.004832767695188522","-0.004832767695188522","-0.004832767695188522","10502","10502","10502"
"1015","1.779718315601349","1.779718315601349","1.779718315601349","10554","10554","10554"
"1020","0.7157352298498154","0.7157352298498154","0.7157352298498154","10606","10606","10606"
"1025","-0.12728400602936746","-0.12728400602936746","-0.12728400602936746","10658","10658","10658"
"1030","-0.01767527014017105","-0.01767527014017105","-0.01767527014017105","10710","10710","10710"
"1035","0.8415501810610294","0.8415501810610294","0.8415501810610294","10762","10762","10762"
"1040","0.4653025925159454","0.4653025925159454","0.4653025925159454","10814","10814","10814"
"1045","-0.010967668890953065","-0.010967668890953065","-0.010967668890953065","10866","10866","10866"
"1050","1.7566062331199646","1.7566062331199646","1.7566062331199646","10918","10918","10918"
"1055","-0.12082260511815548","-0.12082260511815548","-0.12082260511815548","10970","10970","10970"
"1060","-0.11803926676511764","-0.11803926676511764","-0.11803926676511764","11022","11022","11022"
"1065","1.928536707162857","1.928536707162857","1.928536707162857","11074","11074","11074"
"1070","0.03650865703821182","0.03650865703821182","0.03650865703821182","11126","11126","11126"
"1075","-0.14010975509881973","-0.14010975509881973","-0.14010975509881973","11178","11178","11178"
"1080","0.016071423888206482","0.016071423888206482","0.016071423888206482","11230","11230","11230"
"1085","1.6751405417919158","1.6751405417919158","1.6751405417919158","11282","11282","11282"
"1090","0.00904017835855484","0.00904017835855484","0.00904017835855484","11334","11334","11334"
